,source,image_id,image_path,damage_severity,informative,humanitarian,disaster_types,event_name,tweet_id,tweet_text,image,IsFlood
0,CrisisMMD,910207417345908736_0,data/crisismmd/data_image/hurricane_irma/19_9_2017/910207417345908736_0.jpg,little_or_none,informative,infrastructure_and_utility_damage,hurricane,hurricane_irma,9.1e+17,Irma: Naples Estates Watch Now Â·Î©Ã‘9https://t.co/78s9VJP6Ii https://t.co/km3phidDhy,data_image/hurricane_irma/19_9_2017/910207417345908736_0.jpg,1
1,CrisisMMD,909863262371663872_0,data/crisismmd/data_image/hurricane_irma/18_9_2017/909863262371663872_0.jpg,severe,informative,infrastructure_and_utility_damage,flood,hurricane_irma,9.1e+17,RT @jimaley: Amazing pix of Irma aftermath https://t.co/val3A7jPy1 @BW https://t.co/2rEbwjXl2x,data_image/hurricane_irma/18_9_2017/909863262371663872_0.jpg,1
2,CrisisMMD,908496398898925569_0,data/crisismmd/data_image/hurricane_harvey/15_9_2017/908496398898925569_0.jpg,mild,informative,infrastructure_and_utility_damage,hurricane,hurricane_harvey,9.08e+17,"1/ This is Woodloch, a small town on the outskirts of The Woodlands that has barely begun recovering from #Harvey. https://t.co/NyeRz1fjuA",data_image/hurricane_harvey/15_9_2017/908496398898925569_0.jpg,1
3,CrisisMMD,904993803911790592_0,data/crisismmd/data_image/hurricane_harvey/5_9_2017/904993803911790592_0.jpg,mild,informative,infrastructure_and_utility_damage,hurricane,hurricane_harvey,9.05e+17,Editorial: Harveyâ€™s terrible impact spotlights the foolishness of ignoring climate change https://t.co/IKaQe3ln23 https://t.co/HGCYxAGkea,data_image/hurricane_harvey/5_9_2017/904993803911790592_0.jpg,1
4,CrisisMMD,910084561891098625_0,data/crisismmd/data_image/hurricane_irma/19_9_2017/910084561891098625_0.jpg,severe,informative,infrastructure_and_utility_damage,flood,hurricane_irma,9.1e+17,"Hurricane Irma Released ""250 Million Gallons Of Untreated Sewage"" Into The Streets Of Florida | Zero Hedgeâ€šÃ„Â¶ https://t.co/I0wYFf8onh",data_image/hurricane_irma/19_9_2017/910084561891098625_0.jpg,1
5,CrisisMMD,870548008256978944_0,data/crisismmd/data_image/srilanka_floods/2_6_2017/870548008256978944_0.jpg,little_or_none,informative,infrastructure_and_utility_damage,flood,srilanka_floods,8.71e+17,"#SriLanka floods: 206 people dead, 92 still missing https://t.co/goLNqtiZUX #top #news https://t.co/jJ9YCNSL4S",data_image/srilanka_floods/2_6_2017/870548008256978944_0.jpg,1
6,CrisisMMD,908767564997595139_0,data/crisismmd/data_image/hurricane_harvey/15_9_2017/908767564997595139_0.jpg,severe,informative,infrastructure_and_utility_damage,hurricane,hurricane_harvey,9.09e+17,Texas General Land Office to lead Harvey housing effort https://t.co/fJfhZD0LlW https://t.co/DBKbGq317y,data_image/hurricane_harvey/15_9_2017/908767564997595139_0.jpg,1
7,CrisisMMD,907307110307962885_0,data/crisismmd/data_image/hurricane_harvey/11_9_2017/907307110307962885_0.jpg,mild,informative,infrastructure_and_utility_damage,flood,hurricane_harvey,9.07e+17,Mexico withdrew its offer of #Harvey aid to Texas after last week's powerful earthquake https://t.co/Zh53POu2zf https://t.co/mK1iSC0EM5,data_image/hurricane_harvey/11_9_2017/907307110307962885_0.jpg,1
8,CrisisMMD,904393848356569088_0,data/crisismmd/data_image/hurricane_harvey/3_9_2017/904393848356569088_0.jpg,severe,informative,infrastructure_and_utility_damage,flood,hurricane_harvey,9.04e+17,"Harvey: Terror, heartbreak and heroism as five Houstonians brave Americaâ€™s worstÂ storm https://t.co/xaTcr2M33A https://t.co/HTGoBBrL1P",data_image/hurricane_harvey/3_9_2017/904393848356569088_0.jpg,1
9,CrisisMMD,909797659795427334_0,data/crisismmd/data_image/hurricane_irma/18_9_2017/909797659795427334_0.jpg,little_or_none,informative,infrastructure_and_utility_damage,hurricane,hurricane_irma,9.1e+17,Irma takes down iconic Wish Tree at Salvadore Dali Museum https://t.co/dee9xZKPjH https://t.co/TkzrLBfAFM,data_image/hurricane_irma/18_9_2017/909797659795427334_0.jpg,1
10,CrisisMMD,909459854305091585_0,data/crisismmd/data_image/hurricane_irma/17_9_2017/909459854305091585_0.jpg,mild,informative,infrastructure_and_utility_damage,hurricane,hurricane_irma,9.09e+17,Adventist Church in Inter-America assesses damage from Hurricane Irma and begins relief effort.â€¦ https://t.co/UmWBJVbryz,data_image/hurricane_irma/17_9_2017/909459854305091585_0.jpg,1
11,CrisisMMD,909884900739870727_0,data/crisismmd/data_image/hurricane_irma/18_9_2017/909884900739870727_0.jpg,mild,informative,infrastructure_and_utility_damage,flood,hurricane_irma,9.1e+17,Looking for help with mold cleanup following a storm? See our guide: https://t.co/sMK04TIep1 #Harvey #Irma https://t.co/oVyqn4vzmN,data_image/hurricane_irma/18_9_2017/909884900739870727_0.jpg,1
12,CrisisMMD,905137064282378240_0,data/crisismmd/data_image/hurricane_harvey/5_9_2017/905137064282378240_0.jpg,mild,informative,infrastructure_and_utility_damage,hurricane,hurricane_harvey,9.05e+17,Thieves loot Houston home with body of Harvey victim still inside https://t.co/LLStRp9cMk https://t.co/2xUHcSEw8h,data_image/hurricane_harvey/5_9_2017/905137064282378240_0.jpg,1
13,CrisisMMD,904339857383849985_0,data/crisismmd/data_image/hurricane_harvey/3_9_2017/904339857383849985_0.jpg,severe,informative,infrastructure_and_utility_damage,flood,hurricane_harvey,9.04e+17,RT @thehill: WATCH: Harvey floods at least a dozen toxic waste sites in Texas https://t.co/FsygsIvok0 https://t.co/DzQ6mrBCAl,data_image/hurricane_harvey/3_9_2017/904339857383849985_0.jpg,1
14,CrisisMMD,910136946147573761_0,data/crisismmd/data_image/hurricane_irma/19_9_2017/910136946147573761_0.jpg,mild,informative,infrastructure_and_utility_damage,hurricane,hurricane_irma,9.1e+17,Hurricane Irma dirty water means no swimming in Florida Keys https://t.co/ePJQLX0gKS https://t.co/wtYcbyJFQr,data_image/hurricane_irma/19_9_2017/910136946147573761_0.jpg,1
15,CrisisMMD,923305829629136896_0,data/crisismmd/data_image/hurricane_maria/25_10_2017/923305829629136896_0.jpg,severe,informative,infrastructure_and_utility_damage,hurricane,hurricane_maria,9.23e+17,Verizon-Tied Group Says Killing Net Neutrality Aids Puerto Rico https://t.co/Sy1AEkiZLe https://t.co/CivYQ0QWV6,data_image/hurricane_maria/25_10_2017/923305829629136896_0.jpg,1
